----- Preparing dataset -----
Data directory: /home/janek/studia/ITO/projekt/CUB_200_2011/CUB_200_2011/images
----- Loading class 001.Black_footed_Albatross -----
Total images # = 60
----- Loading class 002.Laysan_Albatross -----
Total images # = 60
----- Loading class 003.Sooty_Albatross -----
Total images # = 58
----- Loading class 004.Groove_billed_Ani -----
Total images # = 60
----- Loading class 005.Crested_Auklet -----
Total images # = 44
----- Loading class 006.Least_Auklet -----
Total images # = 41
----- Loading class 007.Parakeet_Auklet -----
Total images # = 53
----- Loading class 008.Rhinoceros_Auklet -----
Total images # = 48
----- Loading class 009.Brewer_Blackbird -----
Total images # = 59
----- Loading class 010.Red_winged_Blackbird -----
Total images # = 60
----- Dataset initialized -----
Dataset size = 543
Train = 488 (90%)
Test = 55 (10%)
----- Training started for model medium -----
----- Epoch 1 -----
[16:21:20][Step 169] Loss: 2.59 | Was correct: False
[16:21:21][Step 170] Loss: 2.48 | Was correct: False
[16:21:22][Step 171] Loss: 1.92 | Was correct: True
[16:21:23][Step 172] Loss: 2.43 | Was correct: False
[16:21:24][Step 173] Loss: 2.22 | Was correct: False
[16:21:26][Step 174] Loss: 2.53 | Was correct: False
[16:21:27][Step 175] Loss: 2.50 | Was correct: False
[16:21:28][Step 176] Loss: 2.41 | Was correct: False
[16:21:29][Step 177] Loss: 2.37 | Was correct: False
[16:21:30][Step 178] Loss: 1.84 | Was correct: True
[16:21:31][Step 179] Loss: 2.43 | Was correct: False
[16:21:32][Step 180] Loss: 2.24 | Was correct: False
[16:21:33][Step 181] Loss: 2.39 | Was correct: False
[16:21:34][Step 182] Loss: 2.19 | Was correct: False
[16:21:35][Step 183] Loss: 2.34 | Was correct: False
[16:21:37][Step 184] Loss: 2.38 | Was correct: False
[16:21:38][Step 185] Loss: 2.27 | Was correct: False
[16:21:39][Step 186] Loss: 2.20 | Was correct: False
[16:21:40][Step 187] Loss: 2.47 | Was correct: False
[16:21:41][Step 188] Loss: 2.33 | Was correct: False
[16:21:42][Step 189] Loss: 2.20 | Was correct: False
[16:21:43][Step 190] Loss: 2.13 | Was correct: False
[16:21:44][Step 191] Loss: 2.08 | Was correct: False
[16:21:46][Step 192] Loss: 2.25 | Was correct: False
[16:21:47][Step 193] Loss: 2.35 | Was correct: False
[16:21:48][Step 194] Loss: 2.36 | Was correct: False
[16:21:49][Step 195] Loss: 2.19 | Was correct: False
[16:21:50][Step 196] Loss: 2.55 | Was correct: False
[16:21:51][Step 197] Loss: 2.01 | Was correct: True
[16:21:52][Step 198] Loss: 2.37 | Was correct: False
[16:21:53][Step 199] Loss: 2.42 | Was correct: False
[16:21:54][Step 200] Loss: 2.19 | Was correct: False
[16:21:55][Step 201] Loss: 2.16 | Was correct: False
[16:21:57][Step 202] Loss: 2.61 | Was correct: False
[16:21:58][Step 203] Loss: 2.32 | Was correct: False
[16:21:59][Step 204] Loss: 2.53 | Was correct: False
[16:22:00][Step 205] Loss: 2.31 | Was correct: False
[16:22:01][Step 206] Loss: 2.40 | Was correct: False
[16:22:02][Step 207] Loss: 2.44 | Was correct: False
[16:22:03][Step 208] Loss: 2.32 | Was correct: False
[16:22:04][Step 209] Loss: 2.20 | Was correct: False
[16:22:05][Step 210] Loss: 2.23 | Was correct: False
[16:22:06][Step 211] Loss: 2.09 | Was correct: True
[16:22:08][Step 212] Loss: 2.22 | Was correct: False
[16:22:09][Step 213] Loss: 2.24 | Was correct: False
[16:22:10][Step 214] Loss: 1.99 | Was correct: True
[16:22:11][Step 215] Loss: 2.50 | Was correct: False
[16:22:12][Step 216] Loss: 2.36 | Was correct: False
[16:22:13][Step 217] Loss: 2.21 | Was correct: False
[16:22:14][Step 218] Loss: 2.21 | Was correct: False
[16:22:15][Step 219] Loss: 2.41 | Was correct: False
[16:22:16][Step 220] Loss: 2.12 | Was correct: False
[16:22:17][Step 221] Loss: 2.39 | Was correct: False
[16:22:20][Step 222] Loss: 1.95 | Was correct: True
[16:22:21][Step 223] Loss: 2.32 | Was correct: False
[16:22:22][Step 224] Loss: 2.37 | Was correct: False
[16:22:24][Step 225] Loss: 2.31 | Was correct: False
[16:22:25][Step 226] Loss: 2.41 | Was correct: False
[16:22:26][Step 227] Loss: 2.28 | Was correct: False
[16:22:27][Step 228] Loss: 2.37 | Was correct: False
[16:22:28][Step 229] Loss: 2.32 | Was correct: False
[16:22:29][Step 230] Loss: 2.27 | Was correct: False
[16:22:30][Step 231] Loss: 2.36 | Was correct: False
[16:22:31][Step 232] Loss: 2.20 | Was correct: False
[16:22:32][Step 233] Loss: 1.97 | Was correct: True
[16:22:34][Step 234] Loss: 2.13 | Was correct: False
[16:22:35][Step 235] Loss: 2.50 | Was correct: False
[16:22:36][Step 236] Loss: 2.29 | Was correct: False
[16:22:37][Step 237] Loss: 2.23 | Was correct: False
[16:22:38][Step 238] Loss: 2.44 | Was correct: False
[16:22:39][Step 239] Loss: 2.15 | Was correct: False
[16:22:40][Step 240] Loss: 2.33 | Was correct: False
[16:22:42][Step 241] Loss: 2.31 | Was correct: False
[16:22:43][Step 242] Loss: 2.26 | Was correct: False
[16:22:44][Step 243] Loss: 2.21 | Was correct: False
[16:22:45][Step 244] Loss: 2.29 | Was correct: False
[16:22:46][Step 245] Loss: 2.22 | Was correct: False
[16:22:47][Step 246] Loss: 2.19 | Was correct: False
[16:22:48][Step 247] Loss: 2.50 | Was correct: False
[16:22:49][Step 248] Loss: 2.23 | Was correct: False
[16:22:51][Step 249] Loss: 2.13 | Was correct: False
[16:22:52][Step 250] Loss: 2.22 | Was correct: False
[16:22:53][Step 251] Loss: 2.13 | Was correct: False
[16:22:54][Step 252] Loss: 2.45 | Was correct: False
[16:22:55][Step 253] Loss: 2.53 | Was correct: False
[16:22:56][Step 254] Loss: 2.06 | Was correct: True
[16:22:57][Step 255] Loss: 2.12 | Was correct: False
[16:22:58][Step 256] Loss: 2.58 | Was correct: False
[16:22:59][Step 257] Loss: 2.11 | Was correct: False
[16:23:00][Step 258] Loss: 2.19 | Was correct: False
[16:23:02][Step 259] Loss: 2.21 | Was correct: False
[16:23:03][Step 260] Loss: 2.21 | Was correct: False
[16:23:04][Step 261] Loss: 2.32 | Was correct: False
[16:23:05][Step 262] Loss: 2.01 | Was correct: True
[16:23:06][Step 263] Loss: 2.53 | Was correct: False
[16:23:07][Step 264] Loss: 2.10 | Was correct: False
[16:23:08][Step 265] Loss: 2.15 | Was correct: False
[16:23:09][Step 266] Loss: 2.20 | Was correct: False
[16:23:11][Step 267] Loss: 2.62 | Was correct: False
[16:23:12][Step 268] Loss: 2.39 | Was correct: False
[16:23:13][Step 269] Loss: 2.48 | Was correct: False
[16:23:14][Step 270] Loss: 2.18 | Was correct: False
[16:23:15][Step 271] Loss: 2.15 | Was correct: False
[16:23:16][Step 272] Loss: 1.97 | Was correct: True
[16:23:17][Step 273] Loss: 2.24 | Was correct: False
[16:23:18][Step 274] Loss: 2.73 | Was correct: False
[16:23:20][Step 275] Loss: 2.12 | Was correct: False
[16:23:21][Step 276] Loss: 2.21 | Was correct: False
[16:23:22][Step 277] Loss: 2.08 | Was correct: True
[16:23:23][Step 278] Loss: 2.31 | Was correct: False
[16:23:24][Step 279] Loss: 2.13 | Was correct: True
[16:23:25][Step 280] Loss: 1.97 | Was correct: True
[16:23:26][Step 281] Loss: 2.24 | Was correct: False
[16:23:28][Step 282] Loss: 2.42 | Was correct: False
[16:23:29][Step 283] Loss: 2.37 | Was correct: False
[16:23:30][Step 284] Loss: 2.27 | Was correct: False
[16:23:31][Step 285] Loss: 1.92 | Was correct: True
