----- Preparing dataset -----
Data directory: /home/janek/studia/ITO/projekt/CUB_200_2011/CUB_200_2011/images
----- Loading class 001.Black_footed_Albatross -----
Total images # = 60
----- Loading class 002.Laysan_Albatross -----
Total images # = 60
----- Loading class 003.Sooty_Albatross -----
Total images # = 58
----- Loading class 004.Groove_billed_Ani -----
Total images # = 60
----- Loading class 005.Crested_Auklet -----
Total images # = 44
----- Loading class 006.Least_Auklet -----
Total images # = 41
----- Loading class 007.Parakeet_Auklet -----
Total images # = 53
----- Loading class 008.Rhinoceros_Auklet -----
Total images # = 48
----- Loading class 009.Brewer_Blackbird -----
Total images # = 59
----- Loading class 010.Red_winged_Blackbird -----
Total images # = 60
----- Dataset initialized -----
Dataset size = 543
Train = 488 (90%)
Test = 55 (10%)
----- Training started for model very_small -----
----- Epoch 1 -----
[16:18:46][Step 133] Loss: 2.76 | Was correct: False
[16:18:47][Step 134] Loss: 2.15 | Was correct: False
[16:18:47][Step 135] Loss: 2.31 | Was correct: False
[16:18:47][Step 136] Loss: 2.61 | Was correct: False
[16:18:47][Step 137] Loss: 1.81 | Was correct: True
[16:18:47][Step 138] Loss: 2.17 | Was correct: False
[16:18:48][Step 139] Loss: 1.79 | Was correct: False
[16:18:48][Step 140] Loss: 1.46 | Was correct: True
[16:18:48][Step 141] Loss: 2.81 | Was correct: False
[16:18:48][Step 142] Loss: 2.68 | Was correct: False
[16:18:49][Step 143] Loss: 2.34 | Was correct: False
[16:18:49][Step 144] Loss: 2.18 | Was correct: False
[16:18:49][Step 145] Loss: 1.86 | Was correct: True
[16:18:49][Step 146] Loss: 2.87 | Was correct: False
[16:18:50][Step 147] Loss: 2.10 | Was correct: False
[16:18:50][Step 148] Loss: 1.94 | Was correct: False
[16:18:50][Step 149] Loss: 2.42 | Was correct: False
[16:18:51][Step 150] Loss: 2.49 | Was correct: False
[16:18:51][Step 151] Loss: 1.44 | Was correct: True
[16:18:51][Step 152] Loss: 1.88 | Was correct: True
[16:18:51][Step 153] Loss: 2.39 | Was correct: False
[16:18:52][Step 154] Loss: 2.38 | Was correct: False
[16:18:52][Step 155] Loss: 2.14 | Was correct: False
[16:18:52][Step 156] Loss: 1.86 | Was correct: True
[16:18:52][Step 157] Loss: 2.38 | Was correct: False
[16:18:53][Step 158] Loss: 1.89 | Was correct: False
[16:18:53][Step 159] Loss: 3.28 | Was correct: False
[16:18:53][Step 160] Loss: 2.23 | Was correct: False
[16:18:53][Step 161] Loss: 3.27 | Was correct: False
[16:18:54][Step 162] Loss: 2.08 | Was correct: False
[16:18:54][Step 163] Loss: 1.73 | Was correct: False
[16:18:54][Step 164] Loss: 2.26 | Was correct: False
[16:18:54][Step 165] Loss: 2.82 | Was correct: False
[16:18:55][Step 166] Loss: 3.05 | Was correct: False
[16:18:55][Step 167] Loss: 2.33 | Was correct: False
[16:18:55][Step 168] Loss: 1.95 | Was correct: False
[16:18:55][Step 169] Loss: 1.71 | Was correct: True
[16:18:56][Step 170] Loss: 2.43 | Was correct: False
[16:18:56][Step 171] Loss: 1.83 | Was correct: False
[16:18:56][Step 172] Loss: 2.56 | Was correct: False
[16:18:56][Step 173] Loss: 1.49 | Was correct: True
[16:18:57][Step 174] Loss: 1.93 | Was correct: False
[16:18:57][Step 175] Loss: 1.59 | Was correct: True
[16:18:57][Step 176] Loss: 1.50 | Was correct: False
[16:18:57][Step 177] Loss: 1.64 | Was correct: True
[16:18:58][Step 178] Loss: 2.80 | Was correct: False
[16:18:58][Step 179] Loss: 2.52 | Was correct: False
[16:18:58][Step 180] Loss: 2.17 | Was correct: False
[16:18:58][Step 181] Loss: 1.48 | Was correct: True
[16:18:59][Step 182] Loss: 2.03 | Was correct: False
[16:18:59][Step 183] Loss: 1.51 | Was correct: True
[16:18:59][Step 184] Loss: 2.46 | Was correct: False
[16:18:59][Step 185] Loss: 1.47 | Was correct: False
[16:19:00][Step 186] Loss: 1.99 | Was correct: False
[16:19:00][Step 187] Loss: 1.78 | Was correct: True
[16:19:00][Step 188] Loss: 2.26 | Was correct: False
[16:19:00][Step 189] Loss: 2.75 | Was correct: False
[16:19:01][Step 190] Loss: 2.06 | Was correct: False
[16:19:01][Step 191] Loss: 1.68 | Was correct: False
[16:19:01][Step 192] Loss: 2.37 | Was correct: False
[16:19:01][Step 193] Loss: 1.71 | Was correct: False
[16:19:02][Step 194] Loss: 2.33 | Was correct: False
[16:19:02][Step 195] Loss: 2.67 | Was correct: False
[16:19:02][Step 196] Loss: 2.65 | Was correct: False
[16:19:02][Step 197] Loss: 1.47 | Was correct: False
[16:19:03][Step 198] Loss: 2.36 | Was correct: False
[16:19:03][Step 199] Loss: 2.97 | Was correct: False
[16:19:03][Step 200] Loss: 2.19 | Was correct: False
[16:19:03][Step 201] Loss: 2.74 | Was correct: False
[16:19:04][Step 202] Loss: 1.86 | Was correct: False
[16:19:04][Step 203] Loss: 1.17 | Was correct: True
[16:19:04][Step 204] Loss: 3.41 | Was correct: False
[16:19:04][Step 205] Loss: 2.05 | Was correct: False
[16:19:05][Step 206] Loss: 2.25 | Was correct: False
[16:19:05][Step 207] Loss: 3.31 | Was correct: False
[16:19:05][Step 208] Loss: 2.07 | Was correct: False
[16:19:05][Step 209] Loss: 2.92 | Was correct: False
[16:19:06][Step 210] Loss: 2.52 | Was correct: False
[16:19:06][Step 211] Loss: 2.03 | Was correct: False
[16:19:06][Step 212] Loss: 3.14 | Was correct: False
[16:19:06][Step 213] Loss: 2.27 | Was correct: False
[16:19:07][Step 214] Loss: 2.50 | Was correct: False
[16:19:07][Step 215] Loss: 1.66 | Was correct: True
[16:19:07][Step 216] Loss: 2.72 | Was correct: False
[16:19:07][Step 217] Loss: 1.81 | Was correct: False
[16:19:08][Step 218] Loss: 2.17 | Was correct: False
[16:19:08][Step 219] Loss: 2.22 | Was correct: False
[16:19:08][Step 220] Loss: 1.88 | Was correct: True
[16:19:08][Step 221] Loss: 2.23 | Was correct: False
[16:19:09][Step 222] Loss: 2.05 | Was correct: False
[16:19:09][Step 223] Loss: 1.88 | Was correct: False
[16:19:09][Step 224] Loss: 2.69 | Was correct: False
[16:19:09][Step 225] Loss: 2.95 | Was correct: False
[16:19:10][Step 226] Loss: 2.30 | Was correct: False
[16:19:10][Step 227] Loss: 2.18 | Was correct: False
[16:19:10][Step 228] Loss: 2.17 | Was correct: False
[16:19:10][Step 229] Loss: 2.03 | Was correct: False
[16:19:11][Step 230] Loss: 1.75 | Was correct: False
[16:19:11][Step 231] Loss: 2.01 | Was correct: False
[16:19:11][Step 232] Loss: 2.50 | Was correct: False
[16:19:12][Step 233] Loss: 2.49 | Was correct: False
[16:19:12][Step 234] Loss: 2.20 | Was correct: False
[16:19:12][Step 235] Loss: 1.87 | Was correct: False
[16:19:12][Step 236] Loss: 1.37 | Was correct: True
[16:19:12][Step 237] Loss: 2.68 | Was correct: False
[16:19:13][Step 238] Loss: 1.75 | Was correct: True
[16:19:13][Step 239] Loss: 2.29 | Was correct: False
[16:19:13][Step 240] Loss: 1.92 | Was correct: True
[16:19:14][Step 241] Loss: 2.75 | Was correct: False
[16:19:14][Step 242] Loss: 2.15 | Was correct: False
[16:19:14][Step 243] Loss: 3.00 | Was correct: False
[16:19:14][Step 244] Loss: 1.69 | Was correct: False
[16:19:15][Step 245] Loss: 2.38 | Was correct: False
[16:19:15][Step 246] Loss: 2.72 | Was correct: False
[16:19:15][Step 247] Loss: 2.63 | Was correct: False
[16:19:15][Step 248] Loss: 2.12 | Was correct: False
[16:19:15][Step 249] Loss: 1.29 | Was correct: True
[16:19:16][Step 250] Loss: 2.40 | Was correct: False
[16:19:16][Step 251] Loss: 1.95 | Was correct: False
[16:19:16][Step 252] Loss: 2.95 | Was correct: False
[16:19:17][Step 253] Loss: 1.74 | Was correct: False
[16:19:17][Step 254] Loss: 2.21 | Was correct: False
[16:19:17][Step 255] Loss: 1.48 | Was correct: True
[16:19:17][Step 256] Loss: 1.71 | Was correct: False
[16:19:18][Step 257] Loss: 2.69 | Was correct: False
[16:19:18][Step 258] Loss: 2.28 | Was correct: False
[16:19:18][Step 259] Loss: 2.17 | Was correct: False
[16:19:18][Step 260] Loss: 2.51 | Was correct: False
[16:19:18][Step 261] Loss: 1.90 | Was correct: False
[16:19:19][Step 262] Loss: 1.93 | Was correct: False
[16:19:19][Step 263] Loss: 2.67 | Was correct: False
[16:19:19][Step 264] Loss: 2.00 | Was correct: False
[16:19:20][Step 265] Loss: 2.14 | Was correct: False
