----- Preparing dataset -----
Data directory: /home/janek/studia/ITO/projekt/CUB_200_2011/CUB_200_2011/images
----- Loading class 001.Black_footed_Albatross -----
Total images # = 60
----- Loading class 002.Laysan_Albatross -----
Total images # = 60
----- Loading class 003.Sooty_Albatross -----
Total images # = 58
----- Loading class 004.Groove_billed_Ani -----
Total images # = 60
----- Loading class 005.Crested_Auklet -----
Total images # = 44
----- Loading class 006.Least_Auklet -----
Total images # = 41
----- Loading class 007.Parakeet_Auklet -----
Total images # = 53
----- Loading class 008.Rhinoceros_Auklet -----
Total images # = 48
----- Loading class 009.Brewer_Blackbird -----
Total images # = 59
----- Loading class 010.Red_winged_Blackbird -----
Total images # = 60
----- Dataset initialized -----
Dataset size = 543
Train = 488 (90%)
Test = 55 (10%)
----- Training started for model big -----
----- Epoch 1 -----
[16:22:15][Step 158] Loss: 2.31 | Was correct: False
[16:22:17][Step 159] Loss: 2.40 | Was correct: False
[16:22:18][Step 160] Loss: 2.26 | Was correct: False
[16:22:21][Step 161] Loss: 2.46 | Was correct: False
[16:22:22][Step 162] Loss: 2.26 | Was correct: False
[16:22:24][Step 163] Loss: 2.19 | Was correct: False
[16:22:25][Step 164] Loss: 2.26 | Was correct: False
[16:22:27][Step 165] Loss: 2.40 | Was correct: False
[16:22:28][Step 166] Loss: 2.35 | Was correct: False
[16:22:30][Step 167] Loss: 2.47 | Was correct: False
[16:22:31][Step 168] Loss: 2.33 | Was correct: False
[16:22:33][Step 169] Loss: 2.18 | Was correct: False
[16:22:35][Step 170] Loss: 2.37 | Was correct: False
[16:22:36][Step 171] Loss: 2.39 | Was correct: False
[16:22:38][Step 172] Loss: 2.12 | Was correct: True
[16:22:39][Step 173] Loss: 2.34 | Was correct: False
[16:22:41][Step 174] Loss: 2.35 | Was correct: False
[16:22:42][Step 175] Loss: 2.35 | Was correct: False
[16:22:44][Step 176] Loss: 2.26 | Was correct: False
[16:22:45][Step 177] Loss: 2.19 | Was correct: False
[16:22:47][Step 178] Loss: 2.42 | Was correct: False
[16:22:48][Step 179] Loss: 2.29 | Was correct: False
[16:22:50][Step 180] Loss: 2.37 | Was correct: False
[16:22:51][Step 181] Loss: 2.18 | Was correct: False
[16:22:53][Step 182] Loss: 2.34 | Was correct: False
[16:22:55][Step 183] Loss: 2.48 | Was correct: False
[16:22:56][Step 184] Loss: 2.13 | Was correct: True
[16:22:58][Step 185] Loss: 2.31 | Was correct: False
[16:22:59][Step 186] Loss: 2.22 | Was correct: False
[16:23:01][Step 187] Loss: 2.27 | Was correct: False
[16:23:02][Step 188] Loss: 2.17 | Was correct: True
[16:23:04][Step 189] Loss: 2.39 | Was correct: False
[16:23:05][Step 190] Loss: 2.37 | Was correct: False
[16:23:07][Step 191] Loss: 2.32 | Was correct: False
[16:23:09][Step 192] Loss: 2.37 | Was correct: False
[16:23:10][Step 193] Loss: 2.39 | Was correct: False
[16:23:12][Step 194] Loss: 2.43 | Was correct: False
[16:23:13][Step 195] Loss: 2.35 | Was correct: False
[16:23:15][Step 196] Loss: 2.43 | Was correct: False
[16:23:16][Step 197] Loss: 2.19 | Was correct: True
[16:23:18][Step 198] Loss: 2.26 | Was correct: False
[16:23:19][Step 199] Loss: 2.33 | Was correct: False
[16:23:21][Step 200] Loss: 2.23 | Was correct: False
[16:23:23][Step 201] Loss: 2.25 | Was correct: False
[16:23:24][Step 202] Loss: 2.19 | Was correct: False
[16:23:26][Step 203] Loss: 2.40 | Was correct: False
[16:23:27][Step 204] Loss: 2.38 | Was correct: False
[16:23:29][Step 205] Loss: 2.36 | Was correct: False
[16:23:30][Step 206] Loss: 2.35 | Was correct: False
[16:23:32][Step 207] Loss: 2.25 | Was correct: False
[16:23:33][Step 208] Loss: 2.38 | Was correct: False
[16:23:35][Step 209] Loss: 2.18 | Was correct: True
[16:23:36][Step 210] Loss: 2.25 | Was correct: False
[16:23:38][Step 211] Loss: 2.32 | Was correct: False
[16:23:39][Step 212] Loss: 2.40 | Was correct: False
[16:23:41][Step 213] Loss: 2.22 | Was correct: True
[16:23:42][Step 214] Loss: 2.21 | Was correct: False
[16:23:44][Step 215] Loss: 2.33 | Was correct: False
[16:23:45][Step 216] Loss: 2.40 | Was correct: False
